PlayerName,SeasonStartYear,PPG,REB,AST,STL,BLK,TOV,TS%,PerformanceMetric,InflationAdjSalary,Team,Age,position
DeMarcus Cousins,2018,25.21,12.85,5.35,1.65,1.58,5.04,0.58,85.29,6275717,NOP,27,C
Kawhi Leonard,2020,27.07,7.05,4.91,1.81,0.58,2.61,0.59,85.27,39515221,LAC,28,SF
DeMarcus Cousins,2017,26.97,11.03,4.61,1.39,1.29,3.74,0.56,85.07,21851023,TOT,26,C
Bradley Beal,2021,31.3,4.72,4.42,1.15,0.37,3.12,0.59,84.69,36779530,WAS,27,SG
Kyrie Irving,2020,27.4,5.15,6.4,1.35,0.5,2.6,0.59,84.66,38760929,BRK,27,PG
John Collins,2020,21.59,10.15,1.46,0.76,1.61,1.83,0.66,84.15,4755400,ATL,22,PF
Kevin Durant,2012,28.03,7.98,3.5,1.33,1.17,3.76,0.61,84.12,22659748,OKC,23,SF
James Harden,2015,27.37,5.67,6.98,1.9,0.74,3.96,0.6,84.03,19517976,HOU,25,SG
Rudy Gobert,2019,15.85,12.85,1.99,0.81,2.31,1.6,0.68,83.46,29219419,UTA,26,C
LeBron James,2021,25.02,7.69,7.78,1.07,0.56,3.73,0.6,83.43,44911401,LAL,36,PG
Giannis Antetokounmpo,2017,22.9,8.75,5.42,1.64,1.89,2.92,0.6,83.31,27183255,MIL,22,SF
Trae Young,2020,29.63,4.25,9.33,1.08,0.13,4.82,0.59,82.78,7553604,ATL,21,PG
Isaiah Thomas,2017,28.93,2.7,5.89,0.92,0.17,2.76,0.63,82.76,7574125,BOS,27,PG
Bradley Beal,2020,30.54,4.25,6.09,1.25,0.4,3.4,0.58,82.69,33047191,WAS,26,SG
Kevin Love,2011,20.22,15.23,2.52,0.62,0.38,2.12,0.59,82.3,6051271,MIN,22,PF
LeBron James,2016,25.26,7.43,6.76,1.37,0.64,3.28,0.59,82.17,38066911,CLE,31,SF
Kevin Durant,2015,25.41,6.59,4.07,0.89,0.93,2.74,0.63,82.0,27281911,OKC,26,SF
James Harden,2021,24.75,5.13,10.38,0.88,0.75,4.25,0.61,81.89,48325294,HOU,31,PG
Jimmy Butler,2021,21.46,6.9,7.1,2.08,0.35,2.1,0.61,81.83,39279180,MIA,31,SF
Domantas Sabonis,2021,20.32,11.97,6.69,1.23,0.53,3.44,0.6,81.42,20176055,IND,24,PF
Kawhi Leonard,2017,25.51,5.81,3.51,1.8,0.74,2.08,0.61,81.1,22824523,SAS,25,SF
Stephen Curry,2015,23.75,4.26,7.74,2.04,0.2,3.11,0.64,81.04,14118828,GSW,26,PG
DeMarcus Cousins,2017,24.35,12.41,3.88,1.47,1.12,3.65,0.56,81.04,21851023,NOP,26,C
Rudy Gobert,2020,15.09,13.47,1.49,0.75,1.99,1.91,0.7,80.91,31637464,UTA,27,C
Stephen Curry,2017,25.3,4.47,6.63,1.8,0.22,3.03,0.62,80.76,41953914,GSW,28,PG
Russell Westbrook,2015,28.15,7.28,8.57,2.09,0.21,4.37,0.54,80.54,20790888,OKC,26,PG
Chris Bosh,2010,23.97,10.84,2.37,0.61,0.97,2.41,0.59,80.36,19711923,TOR,25,C
Anthony Davis,2016,24.28,10.28,1.9,1.28,2.05,1.98,0.56,80.06,27190650,NOP,22,C
Damian Lillard,2018,26.88,4.45,6.59,1.05,0.37,2.82,0.59,80.06,32898646,POR,27,PG
Russell Westbrook,2018,25.35,10.05,10.25,1.84,0.25,4.76,0.52,80.06,41938067,OKC,29,PG
Zach LaVine,2021,27.43,4.98,4.86,0.79,0.47,3.5,0.63,80.01,21266652,CHI,25,SG
DeMarcus Cousins,2016,26.89,11.49,3.29,1.55,1.42,3.83,0.54,79.63,19371191,SAC,25,C
Kevin Durant,2011,27.71,6.83,2.74,1.13,0.97,2.79,0.59,79.6,20355949,OKC,22,SF
Carmelo Anthony,2014,27.43,8.08,3.14,1.23,0.66,2.57,0.56,79.5,27920565,NYK,29,PF
Jayson Tatum,2021,26.44,7.38,4.31,1.17,0.48,2.67,0.58,79.41,30649609,BOS,22,SF
Clint Capela,2019,16.63,12.66,1.43,0.66,1.52,1.4,0.66,79.16,19546246,HOU,24,C
Joel Embiid,2020,22.98,11.63,2.98,0.88,1.27,3.12,0.59,79.15,33955486,PHI,25,C
Rudy Gobert,2021,14.3,13.52,1.25,0.56,2.68,1.66,0.68,79.13,38546983,UTA,28,C
Jimmy Butler,2017,23.89,6.18,5.49,1.88,0.42,2.09,0.59,78.96,22616817,CHI,27,SF
Damian Lillard,2019,25.84,4.64,6.89,1.1,0.42,2.65,0.59,78.95,34475880,POR,28,PG
